"","log_e[1]","log_e[2]","log_e[3]","log_b[1]","log_b[2]","log_b[3]","e[1]","e[2]","e[3]","b[1]","b[2]","b[3]","lp__"
"1196",3.08214180225024,3.53275660264308,3.8024006420775,0.587936392137756,0.590849031800005,0.831947066657683,21.805054533403,34.2181636048827,44.8086249491503,1.80026952920157,1.80552070932046,2.2977883346058,-136.416529611679
"1197",3.55415267575218,3.44481798507599,3.75840170120439,0.630510999712228,0.52384299348134,0.815848351483883,34.9581864958093,31.3375790204757,42.8798363891784,1.87857028291328,1.68850410751401,2.26109306057827,-136.849075284587
"1198",3.31545398239668,3.597711925984,3.75938439095783,0.472498209170224,0.632340643851742,0.642979758834501,27.5348915035641,36.5145907024428,42.9219946758929,1.60399631036459,1.8820105442894,1.90214036271985,-136.837284224548
"1199",3.3019246344334,3.76253936573165,3.6585557991846,0.586672084788004,0.47056198271478,0.800893155160014,27.1648710868946,43.0576263310577,38.8052597956298,1.79799487343927,1.60089361500377,2.227529569807,-136.732615098971
"1200",3.23410548795474,3.2373511474487,3.76987914137249,0.701071648246809,0.52945871828571,0.526984826950531,25.3836556347129,25.4661761819725,43.3748222975637,2.01591189876909,1.69801295646278,1.6938174486777,-137.758825931977
"1201",3.09191047171161,3.7175915499626,3.77367390065508,0.745267324594848,0.582245215445186,0.602866058327822,22.0191046941855,41.1651304608272,43.539732005536,2.10700461385633,1.79005297689455,1.82734859001378,-137.162951054968
"1202",3.43015987801452,3.44438391674834,3.87485576393643,0.679500587964104,0.490912186700237,0.863597266046051,30.8815796406544,31.3239793217706,48.1757491095386,1.97289220004738,1.63380587642092,2.37167691981257,-135.985348722606
"1203",3.43015987801452,3.44438391674834,3.87485576393643,0.679500587964104,0.490912186700237,0.863597266046051,30.8815796406544,31.3239793217706,48.1757491095386,1.97289220004738,1.63380587642092,2.37167691981257,-135.985348722606
"1204",3.15252335059781,3.61844886278968,3.65439050891588,0.811675969990755,0.496911091479976,0.629906003119686,23.3950240098243,37.2796970256379,38.643960786431,2.2516785718153,1.64363637894571,1.87743409802192,-136.198904899482
"1205",3.3399310377111,3.48892018641063,3.82097450450422,0.830269134271246,0.514536503582454,1.14744598767045,28.2171807169409,32.7505641016448,45.6486714885286,2.2939360339958,1.67286295609289,3.15013713770877,-138.357730221047
"1206",3.49291756115198,3.4036130578979,3.74509285810245,0.845824822580702,0.386120774443229,1.02729316261817,32.8817423890615,30.0725578899735,42.3129361353779,2.32989877535607,1.4712623509762,2.79349405739684,-138.318175581881
"1207",3.19689788000942,3.45597354130355,3.81449455612574,0.687651718168885,0.426165421754344,0.655063041454346,24.4565452628915,31.689124341365,45.3538267747028,1.98903922007951,1.5313740767682,1.92526388498604,-135.457363321141
"1208",3.40159497431769,3.60085581868721,3.73930351899209,0.755698970959323,0.553622297465399,0.803425482654808,30.0119301511792,36.6295693032004,42.0686799225744,2.12909918187733,1.73954276066328,2.23317755243471,-135.201022250567
"1209",3.20613900806618,3.52894256934299,3.60696027044687,0.587166644469719,0.456650885950834,0.712186773550742,24.6835988292002,34.0879029565578,36.8538566210522,1.79888430913299,1.57877761458129,2.03844400373178,-136.055954560947
"1210",3.30258592550298,3.50583276391527,4.04729440283583,0.655716915063007,0.725604646741995,0.81526019185305,27.1828409145389,33.309170981366,57.2423725411361,1.92652317589381,2.06597991040571,2.25976356793376,-138.579035629527
"1211",3.29028505010198,3.31835372139182,3.63022422617421,0.872337015065255,0.32242603523343,0.593772446172361,26.8505163075639,27.6148513775379,37.7212737658922,2.39249562345228,1.38047278073636,1.81080671734291,-137.655388405455
"1212",3.34129459961422,3.50793698410914,3.82579604381943,0.732041304788234,0.697981232820535,1.00303745936208,28.2556828336243,33.3793346055545,45.8692998094427,2.07932080595068,2.00969151028213,2.72655105140422,-137.088476644845
"1213",3.16704455826548,3.47395358474251,3.68787408663191,0.756050710345023,0.831201840511653,0.775354045150809,23.7372265960659,32.264049272697,39.9598055092214,2.12984820163781,2.29607660055452,2.17136075085617,-138.220563924863
"1214",3.42407344662449,3.60602968268213,3.84247892342776,0.702749477764243,0.15876255309288,0.762452647703367,30.6941918648523,36.8195768256501,46.6409505975078,2.01929709435378,1.17205961170738,2.14352709539911,-138.273558576551
"1215",3.29955680658201,3.55509306968616,3.83649887052624,0.652321688001767,0.422876503878203,0.649820144078442,27.1006254398883,34.9910764246537,46.3628675499364,1.91999328377894,1.52634578654145,1.91519633863306,-135.311823138843
"1216",3.4399363582128,3.28367193646374,3.59410034922764,0.512245927198161,0.567995725582751,0.662466114389302,31.1849734377109,26.6735366303263,36.3829533077558,1.6690355209013,1.76472650831491,1.93956964189039,-138.768261225195
"1217",3.27318676083153,3.73899625974828,3.84275761720584,0.949258420418437,0.525587039056354,0.772549221436799,26.3953210326165,42.0557559174049,46.6539509517179,2.58379286064587,1.69145150508187,2.16527899983735,-136.962398950191
"1218",3.233174228962,3.36956066169361,3.71063779092435,0.340783932228752,0.693385095898995,0.656274657339159,25.3600278806211,29.065754552898,40.8798710249848,1.40604940607746,2.0004758872863,1.9275979790187,-139.835405752226
"1219",3.35701733685703,3.52488005464739,3.71682277100998,0.417720545773877,0.664071794844024,0.717171036662939,28.7034503518111,33.9497012631335,41.1334957365602,1.51849626490491,1.94268647260237,2.04862950751482,-137.65153113639
"1220",3.24764129261023,3.6127140951323,3.7682822206473,0.887248821785622,0.376552787880455,0.785537492966494,25.7295797377578,37.066518473834,43.3056114217343,2.42843938292422,1.45725246266268,2.19358566079204,-135.93084561609
"1221",3.4238829553435,3.76035775896494,3.93778549465753,0.827725921130964,0.644716647889113,0.787917389567345,30.6883454457885,42.963793912031,51.3048605195106,2.2881094779586,1.90544704033097,2.19881238491435,-137.950371878402
"1222",3.23591391187895,3.5933632755288,3.75332571119646,0.790123607992678,0.551557804462976,1.05504351798321,25.4296015771954,36.3561462703813,42.6627302485825,2.20366880049873,1.73595519133658,2.87210013918741,-136.969558937472
"1223",3.39422111536335,3.52286867079844,3.78659559583769,0.496296511421438,0.492068051919045,0.626333251264705,29.7914403407498,33.8814840108746,44.1059897770104,1.64262654314798,1.63569542763065,1.87073845991458,-136.460098102556
"1224",3.1477544730596,3.38156232463797,3.69225539353111,0.565215820173515,0.434314239757758,0.54142036279111,23.2837216100134,29.4166936562553,40.1352657727457,1.75982754802661,1.54390394789941,1.71844594626327,-137.209482997683
