"","log_e","log_b","e","b","lp__"
"1",2.11408946090302,1.72726858470879,8.28204120950957,5.62526796236032,-51.17327734445
"2",2.10407279634893,1.37710069882096,8.19949688048086,3.96339388079248,-51.7787750879693
"3",2.15175869751518,1.77375020705919,8.59996985065203,5.89291161275454,-51.6145246263045
"4",2.1166625512341,1.67848396277946,8.30337909004153,5.35742775145943,-50.8928150650397
"5",2.21968682396385,1.4235346820865,9.20444780197495,4.15176972078367,-52.5184356704184
"6",2.07002923359736,1.83966819400572,7.92505479232397,6.29444937845948,-52.9674778381523
"7",2.07796710769008,1.83194559252364,7.98821321963207,6.24602706811621,-52.6588214395003
"8",2.06872558956724,1.73121362841977,7.91473007329697,5.64750372204115,-51.9576615213043
"9",2.16077996565313,1.54933253313931,8.67790348622425,4.70832648165352,-50.8450806336884
"10",2.16844503020353,1.77632013994432,8.74467575656604,5.90807547680791,-51.8942073689013
"11",2.08988740481092,1.37644471628599,8.08400489300052,3.96079481619118,-51.9221369002193
"12",2.14680015346047,1.61136122691417,8.55743207116206,5.00962582617853,-50.7240488424756
"13",2.18146818702825,1.73910929137674,8.8593038299158,5.69227100911235,-51.8443731620596
"14",2.16406255816771,1.73125552357113,8.70643631245024,5.64774033002074,-51.4377857510476
"15",2.18896163192304,1.40412120189669,8.92593988998309,4.07194674937274,-51.9602589536962
"16",2.19718768517685,1.53505348133731,8.99966797669024,4.641573760888,-51.4944390945833
"17",2.16887138305369,1.46494818065592,8.7484048689009,4.32731899565873,-51.2298669571181
"18",2.08342095808885,1.67260284106837,8.03189875839836,5.32601253569651,-51.271924839735
"19",2.14499538545936,1.53037420630891,8.54200181978859,4.61990529658515,-50.7539563461642
"20",2.11329115738021,1.41552024241406,8.27543226515873,4.11862859399436,-51.3708203633188
"21",2.14937383996261,1.34053258363322,8.5794845845319,3.82107800715492,-52.1478524461667
"22",2.07912942919606,1.45044149802307,7.99750348974603,4.26499708734476,-51.4860801848662
"23",2.14137788309941,1.73565866655789,8.51115693241043,5.6726629669469,-51.2218383471973
"24",2.07446588542118,1.54962031478718,7.96029361451156,4.70968164659358,-51.2278107412052
"25",2.06952351079861,1.55311378022451,7.92104792470171,4.72616352932815,-51.3278467780861
"26",2.13790207919377,1.54252922284491,8.48162517293731,4.67640299146778,-50.6988212813092
"27",2.15687823833025,1.50190027127359,8.64411064119048,4.49021359222245,-50.9280793996971
"28",2.20401177364763,1.48365050904468,9.06129253374034,4.40901147518201,-51.792217974926
"29",2.21547697752999,1.488342326661,9.16577994020874,4.42974635699707,-52.0782421943988
"30",2.20541319135447,1.47186171058018,9.07400009176266,4.35733969997125,-51.8755697554339
"31",2.12535238620391,1.69839015160397,8.37584850160649,5.46514225566736,-50.95919111149
"32",2.07506711119472,1.34954716424926,7.96508098719927,3.85567914595343,-52.4071330050838
"33",2.17225361871383,1.50273579579737,8.77804413104765,4.49396684354416,-51.1046756570138
"34",2.17414620272467,1.47727886395888,8.79467304786398,4.38100812731946,-51.2379674143462
"35",2.14878075866914,1.51373319255098,8.57439776131616,4.54366153519048,-50.8236253544158
"36",2.11473158904185,1.69095158510594,8.28736104904362,5.42464025673906,-50.9616619473874
"37",2.13302578646656,1.29507665643343,8.44036696110463,3.65127585719841,-52.6968024694842
"38",2.24174503171549,1.66948577757643,9.40973725876041,5.30943686359589,-53.4034388256143
"39",2.17167685781547,1.60562537932826,8.77298275817,4.98097362685588,-50.9961435504918
"40",2.20425621944119,1.33557096305381,9.06350779932955,3.8021662232243,-52.9498555529421
"41",2.09646900467402,1.51754629186615,8.13738605251909,4.56102004170099,-50.945529711351
"42",2.09629311778212,1.60302768358117,8.13595491884069,4.96805136416909,-50.8722101014062
"43",2.16328995952777,1.5699022819074,8.69971232940104,4.80617852023005,-50.8565386974481
