"","log_e","log_b","e","b","lp__"
"1",4.30972489421424,1.14541432359416,74.4200127478317,3.14374361419592,-82.0800152903365
"2",4.27488701155577,1.29254550078303,71.872018143355,3.64204559622289,-81.0114086204306
"3",4.24691673708779,1.34730288291286,69.8895918155489,3.84703562008687,-81.2344022507733
"4",4.27144707787625,1.26047280974122,71.6252079163134,3.52708873510094,-81.0570381751105
"5",4.33652830861795,1.20819178491516,76.4416961647731,3.34742631005738,-81.9547014653817
"6",4.24964567029069,1.18040548701178,70.0805763166414,3.25569407693822,-81.5581561504204
"7",4.28815823729653,1.33826820407397,72.8322052578145,3.8124354249573,-81.1101549074517
"8",4.23597490834694,1.1877107355119,69.1290403709453,3.27956481589223,-81.6106684754434
"9",4.18522660813859,1.14911088427726,65.708389285547,3.15538615866644,-82.78697561251
"10",4.27789185162675,1.1790892894921,72.0883068572113,3.25141175927549,-81.5198658502776
"11",4.33849672391372,1.18759846941842,76.5923133587005,3.27919665262854,-82.1397730769034
"12",4.27815853237846,1.58629970018419,72.107533984712,4.88563711730174,-84.0706861853787
"13",4.2624746741694,1.02578429007844,70.9854320908337,2.7892822092938,-83.681856273972
"14",4.23005607942804,1.45109254390773,68.7210859049801,4.26777470022516,-82.2854672349975
"15",4.14369634718778,1.25194809675471,63.0353920476885,3.49714911062006,-83.6973004547129
"16",4.28629096708887,1.38194570865161,72.6963347437386,3.98264315691873,-81.3016896939595
"17",4.28730249383039,1.24615394595654,72.7699062338336,3.47694469156035,-81.1403294782793
"18",4.18447789381436,1.20089778207292,65.6592108858505,3.32309900261839,-82.4519124330237
"19",4.24541864402678,1.1800450754297,69.7849690898699,3.25452089851143,-81.5887223469469
"20",4.18619854354606,1.31877981534676,65.7722846417113,3.73885649751018,-82.3382512264606
"21",4.36089314833579,1.43855807792391,78.3270608751567,4.21461428812062,-83.1956296868157
"22",4.32138131671031,1.2876434049821,75.2925593650466,3.62423562854797,-81.4062409806114
"23",4.25528919621718,1.3686260836055,70.4771959800303,3.92994756520641,-81.2653693673595
"24",4.25528919621718,1.3686260836055,70.4771959800303,3.92994756520641,-81.2653693673595
"25",4.29393135998853,1.44612986030358,73.2538905640089,4.24664755173122,-81.895342024303
"26",4.20198181186748,1.08581869352366,66.8186218476275,2.9618636850192,-83.1718043872096
"27",4.27234507236258,1.25342053761931,71.6895558458228,3.50230224879469,-81.0771851258969
"28",4.20100437533667,1.31120367964919,66.7533427939585,3.71063744399655,-81.909743012905
"29",4.28277456867885,1.17287431578309,72.4411543886715,3.2312669851377,-81.5902666278811
"30",4.25496953368206,1.3715628366945,70.4546706613379,3.94150581441316,-81.2838326123497
"31",4.34942680616847,1.37395227277748,77.4340654736237,3.95093505142067,-82.2602963677475
"32",4.21390834016816,1.16928417205021,67.6203071908127,3.21968707143695,-82.0440595014973
"33",4.29917838401727,1.30488635792677,73.6392656399837,3.68727004088245,-81.1277542689294
"34",4.26092785368012,1.21424806837803,70.8757152480415,3.36776078618465,-81.2699782716816
"35",4.23037849505844,1.29330135450141,68.7432462294392,3.64479949056885,-81.3129187488181
"36",4.26095851472035,1.2222651101737,70.8778884045134,3.39486878294436,-81.2252586274709
"37",4.23691347524323,1.31221954783141,69.1939530574936,3.71440887782717,-81.2456698056183
"38",4.24479174306869,1.11598099146223,69.741234535936,3.0525612473771,-82.2643681861384
"39",4.34432629574738,1.15079513008317,77.0401177370487,3.16070508250046,-82.5987516707965
"40",4.19609057027082,1.35221956074044,66.4261344573491,3.86599682970463,-82.2105663282447
"41",4.1976792058555,1.35059110901889,66.5317452446173,3.85970636376195,-82.1575203200467
"42",4.33226966030746,1.30421071257472,76.1168500581641,3.68477959544125,-81.6050947461469
"43",4.28177406728727,1.22303955044675,72.3687131577174,3.39749892436385,-81.2232108299627
"44",4.24978691465332,1.34559604606296,70.090475502062,3.84047495850988,-81.201593309829
"45",4.25232356021721,1.3389795600369,70.2684958876683,3.81514838845712,-81.1574500296682
"46",4.32848613804633,1.38546135862919,75.8294043829775,3.99666937743823,-81.8388471631927
"47",4.32578374400409,1.36172941324698,75.6247600916447,3.90293725996859,-81.6462896934247
"48",4.25320141115016,1.30471364529828,70.3302082354987,3.68663325777356,-81.0801417602182
"49",4.37921188937689,1.25955965161892,79.7751369907512,3.52386941547206,-82.9112866329347
"50",4.35111797359635,1.18817967624652,77.5651302379542,3.28110309807962,-82.417070065517
"51",4.31828120591985,1.1468098623022,75.0595055223343,3.14813389278703,-82.1752769162637
"52",4.23791130443106,1.31191814742565,69.2630312618689,3.7132895221798,-81.2329354240806
"53",4.18559902561755,1.2536629448874,65.7328647955024,3.50315133522307,-82.2666452305997
"54",4.31009784264664,1.43617428370883,74.4477727511281,4.20457948017225,-81.9622410184793
"55",4.17707428273546,1.62335767944472,65.1748906961353,5.0700854902578,-87.2307480823292
"56",4.28154360359988,1.4474365778873,72.352036718962,4.252200347937,-81.8468312498675
"57",4.36527447813248,1.17971877744935,78.6709904451187,3.25345912815143,-82.8543569988095
"58",4.36743532993567,1.19596775820331,78.8411705975073,3.30675636311665,-82.797812813276
"59",4.41230158479231,1.09704071951949,82.4590317202526,2.99528899535854,-85.3216227240764
"60",4.40669611249675,1.10679153728856,81.9981029710086,3.02463837018003,-84.9803168439344
"61",4.20682893629585,1.09983200795574,67.1432862305305,3.00366139034318,-82.900342725828
"62",4.20001025467445,1.14230345464742,66.6870148910464,3.13397903584652,-82.5329912035016
"63",4.11084857991523,1.21340023196717,60.998457679755,3.364906686043,-85.1517059222397
"64",4.34539988440127,1.16186074046965,77.1228715471727,3.1958744398262,-82.5110553801386
"65",4.35997521444885,1.1414103848087,78.2551948009139,3.13118142311214,-83.0720860133246
"66",4.37830175732782,1.18655121741317,79.7025641123181,3.27576430493867,-83.1974149311063
"67",4.26978223877553,1.32721594053713,71.5060626759238,3.77053137776616,-81.0472319571619
"68",4.24548023470349,1.35303689812666,69.7892673257044,3.86915794512147,-81.2728862834053
"69",4.31505749071929,1.27261060501373,74.8179246566065,3.57016068653935,-81.3283754352952
"70",4.2477491847522,1.37202024099881,69.9477954654074,3.94330908851934,-81.3471717362769
"71",4.29933956097859,1.23395027812046,73.651135549606,3.4347710732813,-81.2742013005704
"72",4.20202263532207,1.24318063839991,66.8213496702818,3.46662201947924,-81.8781970331036
